avalanche.id;date;date.quality;hydrological.year;canton;local.name;start.zone.coordinates.x;start.zone.coordinates.y;coordinates.quality;start.zone.elevation;start.zone.slope.aspect;start.zone.inclination;forecasted.dangerlevel;number.dead;number.caught;number.fully.buried;activity
20848;06.01.2003;0;2002/03;GR;Totalphorn / Skigebiet Parsenn;9.830492841635197;46.83562057784626;25;2245;E;33;3;1;1;1;offpiste
20849;06.01.2003;0;2002/03;VS;Pointe de Penne / Combe du Valsorey;7.237610506788475;45.94533904819431;25;2750;WSW;40;3;3;3;3;tour
20851;10.01.2003;0;2002/03;GR;Parpaner Rothorn;9.605156254478711;46.74162143383204;25;2810;SSE;37;2;1;1;1;offpiste
20879;04.02.2003;0;2002/03;GR;;9.848658434154013;46.78295097320042;25;2380;NE;50;3;1;1;1;offpiste
20883;05.02.2003;0;2002/03;VS;La Breya / Champex;7.102173992502279;46.02561550407933;25;1950;NE;50;4;4;5;4;offpiste
21023;08.02.2003;0;2002/03;VS;Alter Spittel / Magehorn / Simplonpass;8.0023182933615;46.238134113124616;25;2100;SE;45;3;1;4;2;tour
21024;09.02.2003;0;2002/03;GR;;9.934642189817774;46.5277945645014;25;2960;SW;37;3;1;1;1;tour
21029;10.02.2003;0;2002/03;UR;Geissberg / Gemsstock;8.61272436609596;46.62353745850054;25;1980;NNE;50;3;1;1;1;offpiste
21034;11.02.2003;0;2002/03;VS;Corne de Sorebois / Val de Moiry;7.582308192768028;46.150929847068454;25;2680;WSW;43;3;1;1;0;offpiste
21041;24.02.2003;0;2002/03;GR;Wengahorn;9.569423427895499;46.43363005226252;25;2730;ENE;40;1;1;2;1;tour
21066;15.04.2003;0;2002/03;VS;;7.316033576198351;45.99299375221655;25;2990;NE;45;2;1;1;0;tour
21067;19.04.2003;0;2002/03;VS;Col de Sorebois / Zinal;7.587337623566664;46.14431088514428;25;2760;E;42;1;1;1;1;offpiste
21108;19.12.2003;0;2003/04;GR;Ofenpass / Munt Buffalora;10.254429441517976;46.6322977236766;25;2385;ESE;37;2;1;2;2;tour
21117;29.12.2003;0;2003/04;GR;;9.804236305272822;46.732618583544344;25;2260;NW;43;3;1;11;2;offpiste
21124;30.12.2003;0;2003/04;BE;Tschingellochtighorn / Engstligenalp;7.582436697412544;46.44553806301701;25;2300;SW;41;3;2;3;2;tour
21132;04.01.2004;0;2003/04;VS;Einigs Alichji / Niwen / Goppenstein;7.713189100796718;46.36109801798938;25;2730;SE;43;2;1;1;1;tour
21157;15.01.2004;0;2003/04;GR;Ofenpass / Munt Buffalora;10.253958623740031;46.63203932560186;25;2400;ESE;40;3;1;3;2;tour
21165;17.01.2004;0;2003/04;VS;Mont Rogneux / Skigebiet Verbier;7.263404897406093;46.10536790296453;25;2650;WSW;47;3;1;4;4;offpiste
21176;25.01.2004;0;2003/04;VS;Col de la Chaux;7.30679922302545;46.07628072167594;25;2950;SW;NA;3;1;1;1;offpiste
21191;15.02.2004;0;2003/04;GR;;9.83521146171156;46.7324764919285;25;2120;NE;49;2;1;1;0;offpiste
21194;21.02.2004;0;2003/04;VS;;7.1787047057525015;45.96802233522213;25;2160;NNW;41;2;1;2;1;tour
